instance_id,order_id,delivery_id,drop_off_lat,drop_off_lng,pick_up_lat,pick_up_lng,placement_time,preparation_time,ready_time,expected_drop_off_time
24,0,17738347,28.983177,41.053969,28.9859625677715,41.0517793814635,2021-08-25 13:05:55,2021-08-25 13:12:14,2021-08-25 13:24:06,2021-08-25 13:35:55
24,1,17820007,28.961694,41.048327,28.9773279,41.0343635585845,2021-08-25 21:46:17,2021-08-25 21:48:10,2021-08-25 22:04:45,2021-08-25 22:16:17
24,2,17741591,28.990869,41.055244,28.9916745081322,41.052445799887096,2021-08-25 13:27:18,2021-08-25 13:29:15,2021-08-25 13:42:31,2021-08-25 13:57:18
24,3,17813910,28.97764,41.031995,28.9846262587393,41.0350110657119,2021-08-25 20:57:54,2021-08-25 20:58:50,2021-08-25 21:13:11,2021-08-25 21:27:54
24,4,17772065,29.019955,41.050616999999995,29.0081131805464,41.0429138357981,2021-08-25 16:49:42,2021-08-25 16:49:54,2021-08-25 17:06:46,2021-08-25 17:19:42
24,5,17816664,28.978855,41.046363,28.986234515905398,41.0429052950492,2021-08-25 21:17:50,2021-08-25 21:20:30,2021-08-25 21:23:56,2021-08-25 21:47:50
24,6,17818434,29.012613,41.046558000000005,29.0255686276779,41.0496492953939,2021-08-25 21:31:30,2021-08-25 21:36:59,2021-08-25 21:48:59,2021-08-25 22:01:30
24,7,17806329,29.019992,41.084226,29.034434234213098,41.0872117152932,2021-08-25 20:10:50,2021-08-25 20:11:16,2021-08-25 20:23:25,2021-08-25 20:40:50
24,8,17727902,28.982028999999997,41.046079999999996,28.97772,41.064240000000005,2021-08-25 11:51:22,2021-08-25 11:51:56,2021-08-25 12:02:05,2021-08-25 12:21:22
24,9,17813647,29.023718,41.050081,29.0255686276779,41.0496492953939,2021-08-25 20:56:07,2021-08-25 20:57:05,2021-08-25 21:17:43,2021-08-25 21:26:07
24,10,17785973,28.993388,41.054834,28.9916745081322,41.052445799887096,2021-08-25 18:17:35,2021-08-25 18:29:55,2021-08-25 18:34:34,2021-08-25 18:47:35
